name,objectid,weight,rank,minPlayers,maxPlayers,playingtime,year,imagePath,category
Brass: Birmingham,224517,3.8721,1,2,4,120,2018,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg,Strategy
Pandemic Legacy: Season 1,161936,2.8294,2,2,4,60,2015,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png,Thematic
Gloomhaven,174430,3.9109,3,1,4,120,2017,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__original/img/7d-lj5Gd1e8PFnD97LYFah2c45M=/0x0/filters:format(jpeg)/pic2437871.jpg,Thematic
Twilight Imperium: Fourth Edition,233078,4.3251,5,3,6,480,2017,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__original/img/kVpZ0Maa_LeQGWxOqsYKP3N4KUY=/0x0/filters:format(jpeg)/pic3727516.jpg,Thematic
Terraforming Mars,167791,3.2638,7,1,5,120,2016,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg,Strategy
War of the Ring: Second Edition,115746,4.2169,8,2,4,180,2011,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__original/img/38jB7fN07DwlrGKYAf-J0vsNdgs=/0x0/filters:format(jpeg)/pic1215633.jpg,Thematic
Star Wars: Rebellion,187645,3.7412,9,2,4,240,2016,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__original/img/GKueTbkCk2Ramf6ai8mDj-BP6cI=/0x0/filters:format(jpeg)/pic4325841.jpg,Thematic
Gloomhaven: Jaws of the Lion,291457,3.6424,10,1,4,120,2020,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__original/img/PBzsLRqNKQKJxGnzpb7o3qLWPQM=/0x0/filters:format(jpeg)/pic5055631.jpg,Thematic
Spirit Island,162886,4.0675,11,1,4,120,2017,https://cf.geekdo-images.com/a13ieMPP2s0KEaKNYmtH5w__original/img/nuQlvKPSBG3jsVzaTgZTpNSjlTw=/0x0/filters:format(png)/pic3615739.png,Strategy
Gaia Project,220308,4.3965,12,1,4,150,2017,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__original/img/tjlflQtUPFiTpLpwk1NCVCS29Ic=/0x0/filters:format(png)/pic5375625.png,Strategy
